"id","data_dossie","canal_id","canal_nome","canal_descricao","inscritos","total_videos_canal","total_videos_analisados","auto_classificacao","classificacao_sociologica","tipo_conteudo_predominante","sintomas_estruturais","rede_canais","composicao_videos","veredito_sonnet","versao_numero","versao_anterior_id","canonica"
"4","2026-05-15T16:13:59.957367+00:00","UC5ZTRH1zclthyc6b_D3m2Pw","Gaules","A CASA DO COUNTER STRIKE E ESPORTES ELETRONICOS!","1250000","7123","50","Canal de transmissão e cobertura de esports (Counter-Strike e Kings League), operado como empresa de mídia nativa digital.","produtora_digital","esportivo","{""frequencia_videos_por_dia"": 1.4219544500591164, ""duracao_mediana_segundos"": 25456, ""link_externo_repetido"": null, ""pct_titulos_padronizados"": 0.0, ""taxa_engajamento_mediana"": 3.7582156341770383, ""inscritos"": 1250000, ""total_videos_canal"": 7123, ""n_videos_analisados"": 50}","[]","{""esportivo"": 35, ""jogos"": 12, ""outros"": 1, ""vlog"": 1, ""entretenimento_roteirizado"": 1}","O canal Gaules apresenta-se como ""a casa do Counter-Strike e dos esportes eletrônicos"", evocando um imaginário de pertencimento comunitário — uma casa, um lar, um ponto de encontro. Essa retórica de acolhimento mascara o que os dados estruturais revelam com clareza: uma operação de mídia profissionalizada, orientada pela lógica da transmissão contínua e da captura intensiva de tempo de atenção. Uma duração mediana de mais de sete horas por vídeo não é produto de espontaneidade criativa; é sintoma de um modelo econômico ancorado no streaming de longa duração, onde a presença permanente equivale à monetização permanente.

A frequência de publicação — superior a um vídeo por dia ao longo de um acervo de mais de sete mil conteúdos — não é compatível com a produção de um indivíduo ou de uma equipe informal. Configura-se um aparato editorial que replica o ritmo de uma emissora, onde o conteúdo não termina porque a audiência não deve ter razão para partir. A ausência de padronização nos títulos, paradoxalmente, reforça essa leitura: quando o volume é a estratégia, a curadoria nominal torna-se irrelevante. O produto não é o vídeo — é o fluxo.

A ausência de canais relacionados declarados publicamente e a inexistência de link externo recorrente sugerem uma operação que se quer autossuficiente, fechada em torno de sua própria marca. Não há rede visível porque o canal é, ele mesmo, o nó central de um ecossistema que gravita em torno de uma figura — Gaules — cuja persona foi industrializada. A ""casa"" é, na prática, uma plataforma dentro da plataforma, com lógica própria de retenção e fidelização.

A ausência de aparições no Trending Brasil é o dado mais revelador sobre a posição real desse canal no ecossistema. Canais que dominam pelo volume e pela duração raramente emergem nos rankings de viralização pontual — eles não disputam o pico de atenção, disputam a fração do tempo cotidiano. É uma estratégia de ocupação territorial, não de conquista episódica. O engajamento mediano relativamente sólido confirma que a audiência fidelizada existe e é ativa, mas permanece circunscrita a um nicho que se autossustenta sem precisar irromper no mainstream.

Gaules ocupa no ecossistema digital brasileiro a posição de uma emissora setorial de esports: uma operação de mídia nativa de nicho, industrialmente estruturada, que usa a linguagem da comunidade para sustentar uma economia de atenção de longa permanência — o oposto de um canal, no sentido artesanal do termo.","1","","True"
"5","2026-05-15T16:21:13.342907+00:00","UCiRXpkxkyG40cwNcYq5shWw","Sirena Alar","","381","55","50","Canal de conteúdo espiritual/motivacional com narrativa pessoal e reflexiva, operado por criador individual sem profissionalização plena.","criador_casual","vlog","{""frequencia_videos_por_dia"": 0.4127432175397523, ""duracao_mediana_segundos"": 1774, ""link_externo_repetido"": {""dominio"": ""paradoxalgenesis.carrd.co"", ""n_aparicoes"": 6}, ""pct_titulos_padronizados"": 0.0, ""taxa_engajamento_mediana"": 17.647058823529413, ""inscritos"": 381, ""total_videos_canal"": 55, ""n_videos_analisados"": 50}","[]","{""vlog"": 50}","O canal Sirena Alar configura um caso de produção genuinamente periférica dentro do ecossistema do YouTube brasileiro — não periférica no sentido depreciativo, mas no sentido estrutural: opera fora dos circuitos de visibilidade massiva, sem nenhuma aparição em tendências, com uma base de inscritos que permanece no limiar da invisibilidade algorítmica. A frequência de publicação, se traduzida em termos de rotina de trabalho, não revela uma esteira de produção, mas tampouco sugere abandono — aponta para um ciclo orgânico, irregular, condicionado por motivação intrínseca mais do que por pressão de plataforma.

A ausência total de padronização nos títulos é, nesse contexto, um dado revelador. Canais que interiorizam a lógica de otimização para busca e recomendação desenvolvem, mesmo inconscientemente, padrões linguísticos repetíveis — fórmulas, gatilhos, estruturas reconhecíveis. A inexistência dessas marcas no Sirena Alar indica que o canal não foi formatado para dialogar com o algoritmo, mas com uma audiência imaginada de outra natureza: menor, mais específica, talvez pressuposta como já convencida de buscar aquele tipo de conteúdo.

A duração mediana dos vídeos é o dado mais expressivo da autopercepção do canal. Quase trinta minutos por vídeo, em um ambiente onde a atenção é o recurso mais disputado, sinaliza uma recusa implícita — ou uma indiferença — às convenções de empacotamento que dominam o conteúdo espiritual e motivacional de alto alcance. Esse gênero, quando industrializado, tende à compressão, ao formato de pílula, à entrega rápida de insight. Aqui, a duração sugere um registro confessional, de elaboração lenta, mais próximo do diário falado do que do produto de consumo.

A presença recorrente de um link externo apontando para uma página no Carrd — plataforma usada tipicamente para portfólios pessoais ou páginas de apresentação minimalistas — complica levemente a imagem de um canal estritamente casual. Há uma intenção de construir algo para além do vídeo isolado, uma identidade ou projeto nomeado como Paradoxal Genesis, que excede a lógica do vlog pessoal sem alcançar a escala de uma operação profissional. É um esboço de marca, não uma marca.

A taxa de engajamento excepcionalmente alta em relação à base de visualizações indica que quem assiste ao canal não é um espectador acidental — é alguém que chegou ali por razões específicas e que responde ativamente ao conteúdo. Isso não é mérito que se converta em crescimento dentro das lógicas plataformizadas, mas revela uma microcomumidade coesa em torno de um projeto ainda indefinido quanto à sua escala desejada. O Sirena Alar ocupa, portanto, a posição de um projeto de voz pessoal que encontrou seu público sem encontrar sua forma — relevante para quem já está dentro, invisível para quem está fora.","1","","True"
"6","2026-05-15T16:23:07.801187+00:00","UC0p_RiogALYxv1y72YWmtiA","Filipe Severo","Oi, eu sou o Fi Severo!

Este é o espaço para minhas reflexões, análises e nossas conversas ao vivo. É aqui que eu testo ideias, compartilho os bastidores da minha pesquisa e falo de forma direta sobre o trabalho criativo no capitalismo de plataformas.

Como comunicador e mestrando em Comunicação (PUCRS), minha missão é traduzir o caos das redes e ajudar criadores a construir com propósito.

Eu sou o pesquisador e comunicador à frente da Classe Creator, o ecossistema feito para formar a nova geração de criadores de conteúdo com consciência crítica, técnica e política.

O conteúdo polido, as aulas e as análises aprofundadas estão lá.
","4690","430","50","Pesquisador e comunicador individual que utiliza o YouTube como plataforma para reflexões, análises e conversas sobre criação de conteúdo e plataformas digitais.","youtuber_profissional","informativo","{""frequencia_videos_por_dia"": 0.3291141959980171, ""duracao_mediana_segundos"": 673, ""link_externo_repetido"": {""dominio"": ""fisevero.com"", ""n_aparicoes"": 145}, ""pct_titulos_padronizados"": 0.0, ""taxa_engajamento_mediana"": 2.564102564102564, ""inscritos"": 4690, ""total_videos_canal"": 430, ""n_videos_analisados"": 50}","[]","{""informativo"": 50}","O canal Filipe Severo se apresenta como um espaço de reflexão informal, de bastidores e de teste de ideias — um repositório de pensamento em processo, distinto do produto acabado que existiria em outro ecossistema. Essa distinção entre o canal e a Classe Creator não é modéstia intelectual, é uma estratégia de segmentação de audiência. O YouTube funciona, aqui, como funil de entrada para um produto externo, papel evidenciado pela densidade de aparições de um domínio próprio distribuído ao longo de centenas de vídeos. O canal não é o destino; é o corredor.

A frequência de publicação revela uma operação de manutenção de presença, não de crescimento. Produzir nesse ritmo por uma base ainda restrita não é sinal de expansão — é sinal de compromisso com a consistência enquanto a conversão acontece fora da plataforma. A duração mediana dos vídeos, suficiente para sinalizar substância sem exigir produção elaborada, reforça essa lógica: o formato serve à captura de atenção qualificada, não ao alcance massivo.

A ausência de formatação padronizada nos títulos, em vez de indicar amadorismo, funciona como marcador de estilo. É uma escolha que rejeita a lógica do clickbait para afirmar uma voz autoral — coerente com a auto-narrativa do pesquisador que ""fala de forma direta"". O problema é que essa postura, quando combinada com a ausência de tráfego significativo e com zero aparições em trending, não indica independência do mercado algorítmico, mas sim marginalidade dentro dele. A rejeição dos códigos da plataforma tem um custo mensurável em visibilidade.

A auto-declaração como ""pesquisador e comunicador individual"" convive de modo tenso com a existência de um ecossistema nomeado, com marca própria, com domínio registrado e com uma proposta explícita de formação de ""nova geração de criadores"". Não se está diante de um indivíduo testando ideias em público — está-se diante de uma estrutura de negócio em estágio de consolidação que utiliza a linguagem da vulnerabilidade intelectual como diferencial de posicionamento. A fachada do mestrando que compartilha bastidores é, ela mesma, um produto comunicacional.

O canal ocupa uma posição que pode ser descrita como nicho de conversão qualificada: pequeno em escala, denso em intenção, orientado para fora de si mesmo. Sua função dentro do ecossistema digital não é a de criador de conteúdo público, mas a de ponto de entrada para uma oferta comercial que se legitima pelo verniz crítico-acadêmico — o que o torna, simultaneamente, mais sofisticado e mais dependente da manutenção cuidadosa de uma persona intelectual como ativo de mercado.","1","","True"
"7","2026-05-21T17:58:40.493616+00:00","UCFRwAMyDCz3UomPL_kOPasw","O Gustav Existencial","Tudo na vida tem um contexto: e o contexto aqui, é eu fazendo gameplays com fatores históricos, táticas duvidosa e mostrando todo o caos dos fps/simuladores imersivos. Enquanto tento preencher meu vazio existencial de que sou apenas um humano nesse mundo onde nada é sólido (nem mesmo as frequências dos vídeos).
","168000","542","50","Criador individual especializado em gameplays de simuladores táticos e FPS com narrativa histórica e existencial.","youtuber_profissional","jogos","{""frequencia_videos_por_dia"": 0.23813425777934183, ""duracao_mediana_segundos"": 1300, ""link_externo_repetido"": null, ""pct_titulos_padronizados"": 0.0, ""taxa_engajamento_mediana"": 7.008333106643816, ""inscritos"": 168000, ""total_videos_canal"": 542, ""n_videos_analisados"": 50}","[]","{""jogos"": 50}","A auto-descrição do canal Opera um gesto retórico preciso: ao anunciar o ""vazio existencial"" e a irregularidade das postagens como características constitutivas, O Gustav Existencial transforma em identidade aquilo que em qualquer análise estrutural seria lido como fragilidade operacional. A ironia declarada sobre a instabilidade da frequência não descreve uma opção estética — descreve uma realidade de produção que a narrativa existencial tenta ressignificar antes que alguém a problematize. O canal se apresenta como caótico por vocação quando a evidência indica que o caos é uma condição, não uma escolha.

O volume acumulado de vídeos em contraste com a frequência atual revela uma trajetória de desaceleração. Um catálogo dessa dimensão, produzido com cadência que hoje se encontra bem abaixo de um vídeo diário, aponta para alguém que investiu anos de trabalho contínuo em um nicho específico — simuladores táticos e FPS com camada histórica — e que agora sustenta o canal com a inércia desse acervo mais do que com dinamismo produtivo presente. A base de inscritos foi construída, e o canal vive em parte dessa construção anterior.

O engajamento mediano acima de sete por cento é o dado mais revelador do conjunto. Em um nicho técnico e de audiência específica como o de simuladores imersivos, esse índice indica uma comunidade real, não uma audiência passiva de consumo algorítmico. O canal não viraliza — a ausência de aparições em trending é estrutural, não acidental — mas retém uma audiência que interage de forma desproporcional ao alcance. Isso configura um produtor de nicho com capital simbólico local e limitada capacidade de conversão para escala.

A ausência total de padronização nos títulos e de links externos recorrentes confirma a ausência de uma infraestrutura de monetização paralela ou de esforço sistemático de otimização para plataforma. Não há marca a ser gerenciada além do próprio nome, não há rede a ser alimentada. O canal opera sem o aparato que distingue o criador profissionalizado do criador persistente — e a classificação técnica como ""youtuber profissional"" merece resistência: o que os dados mostram é alguém que produz com seriedade e continuidade, mas sem as estruturas que definem a profissionalização no sentido econômico do termo.

O Gustav Existencial ocupa a posição do produtor de nicho consolidado e autossuficiente em audiência cativa, mas estruturalmente invisível para o ecossistema amplo — um canal que encontrou seu público, parou de crescer e aprendeu a chamar essa estagnação de filosofia.","1","","True"
"8","2026-05-27T19:08:49.308272+00:00","UCt_4wzTQqmcUvemNkeO0plA","Ei Nerd","O Ei Nerd é o maior Canal de Cultura Pop do Brasil e está no ar desde 2013. Peter Jordan, criador e apresentador do Canal traz, diariamente, conteúdos informativos e de qualidade sobre tudo que esta relacionado ao mundo Nerd: animes, quadrinhos, filmes, series, games e mangás.
Desde 2018, o Ei Nerd é eleito pelo YouTube como um dos 50 canais mais influentes do Brasil. Desde esse mesmo ano, é ganhador do prêmio Influenciadores Digitais na categoria Cultura e Entretenimento há 3 anos seguidos.   

Além do canal, o Ei Nerd também possui um portal de notícias de cinema, games, anime e tudo sobre esse universo.  Acesse: https://einerd.com.br. 

Anuncie: comercial@einerd.com.br
Imprensa: press@einerd.com.br

O canal é propriedade da Petaxxon Informática LTDA - ME - Todos os direitos reservados. 

","14500000","9995","50","Canal de cultura pop e entretenimento com análises de filmes, séries, animes e games, apresentado por Peter Jordan desde 2013.","produtora_digital","entretenimento_roteirizado","{""frequencia_videos_por_dia"": 4.247244698317815, ""duracao_mediana_segundos"": 567, ""link_externo_repetido"": {""dominio"": ""einerd.com"", ""n_aparicoes"": 99}, ""pct_titulos_padronizados"": 0.0, ""taxa_engajamento_mediana"": 9.417824674700647, ""inscritos"": 14500000, ""total_videos_canal"": 9995, ""n_videos_analisados"": 50}","[]","{""entretenimento_roteirizado"": 39, ""educativo"": 5, ""experimental"": 1, ""informativo"": 5}","O Ei Nerd se apresenta como a voz de Peter Jordan — um criador, um apresentador, uma pessoa com nome e rosto. A auto-narrativa é personalista e construída em torno de uma figura pública que ""traz diariamente"" conteúdo de qualidade. No entanto, a própria descrição do canal entrega a contradição: o empreendimento é registrado como Petaxxon Informática LTDA, possui emails separados para imprensa e publicidade, e mantém um portal de notícias paralelo. A fachada do criador individual encobre uma estrutura empresarial funcional, com divisão de trabalho, fluxo comercial institucionalizado e lógica de operação editorial, não pessoal.

A frequência de publicação não é compatível com nenhuma modalidade de produção individual, por mais dedicado que seja o criador. Quatro vídeos por dia, sustentados ao longo de uma década, com quase dez mil vídeos acumulados, descrevem uma linha de montagem editorial. A duração mediana próxima dos dez minutos não é coincidência criativa — é o intervalo historicamente otimizado para monetização no ecossistema do YouTube, o ponto em que a plataforma permite inserção de múltiplos anúncios. Cada decisão de formato é, antes de tudo, uma decisão de receita.

A ausência declarada de canais relacionados é, ela mesma, um dado. Operações desse porte costumam declarar redes ou ramificações quando isso agrega valor de autoridade. O silêncio aqui pode indicar uma estratégia de concentração da marca em torno de uma única identidade, evitando diluir o equity do nome ""Ei Nerd"" ou expor a extensão real da infraestrutura. O portal einerd.com, linkado quase cem vezes nas descrições, é o elo visível de um ecossistema de tráfego cruzado que opera entre plataformas, mas se apresenta como extensão natural de um criador apaixonado por cultura pop.

A taxa de engajamento relativamente elevada para um canal desta escala e a presença marginal nos rankings de trending revelam uma audiência fidelizada mas contida — uma base cativa que consome de forma regular, sem necessariamente produzir os picos de viralização que colocariam o canal no centro da conversação pública. Isso é coerente com uma estratégia de volume e recorrência, não de espetáculo. O canal não precisa ser o assunto do momento porque já é o hábito de consumo de uma fatia estável do público brasileiro de cultura pop.

O Ei Nerd ocupa, no ecossistema digital brasileiro, a posição de uma editora de entretenimento de nicho com verniz de criador independente — uma empresa que vende personalidade como produto enquanto opera com a lógica de uma fábrica de conteúdo.","1","","True"
"9","2026-05-29T13:38:48.065357+00:00","UC3bXRwWHoPOC2yoUzKgb6eQ","Saulo Calderon","Saulo Calderon é fundador do GVA (Grupo Viagem Astral), um dos maiores projetos brasileiros dedicados ao estudo das Experiências Fora do Corpo (EFCs). Nascido em Santos (SP), viveu na Bahia dos 7 aos 31 anos, passou 15 anos em Pernambuco, morou em Maceió e hoje vive em São Paulo.

Estudante de Medicina, músico, compositor, escritor e analista de sistemas, Saulo une ciência, arte e espiritualidade com humor leve e acessível, tornando temas complexos compreensíveis a todos.

Vivencia EFCs desde os 15 anos e é considerado um dos principais pesquisadores do tema no país.
O GVA nasceu com o propósito de pesquisar e compartilhar gratuitamente o conhecimento espiritual, promovendo lucidez, ética e autoconhecimento.

Mais que um estudioso, Saulo é um comunicador nato, que transforma saber em empatia — e aprendizado em sorriso.
","321000","3939","50","Saulo Calderon é um criador individual que monetiza pesquisa espiritual e autoconhecimento através de um canal pessoal com marca própria (GVA), operado como atividade econômica principal.","youtuber_profissional","vlog","{""frequencia_videos_por_dia"": 0.8861634803414272, ""duracao_mediana_segundos"": 6200, ""link_externo_repetido"": {""dominio"": ""threads.net"", ""n_aparicoes"": 27}, ""pct_titulos_padronizados"": 0.0, ""taxa_engajamento_mediana"": 16.314627994955863, ""inscritos"": 321000, ""total_videos_canal"": 3939, ""n_videos_analisados"": 50}","[]","{""vlog"": 38, ""outros"": 1, ""musical"": 8, ""educativo"": 3}","Saulo Calderon se apresenta como pesquisador espiritual que compartilha conhecimento ""gratuitamente"" e com propósito de lucidez coletiva. A estrutura operacional do canal, contudo, revela outra coisa: um produtor profissional de conteúdo que transformou a experiência fora do corpo em commodity de atenção sustentada. Quase um vídeo por dia, com duração mediana superior a uma hora e quarenta minutos, não é o ritmo de um estudioso que divide descobertas — é o ritmo de uma linha de produção. Essa frequência e essa extensão só são sustentáveis quando o canal é atividade econômica principal, não complemento de uma vocação.

A ausência de formatação padronizada nos títulos é um dado ambíguo. Pode sugerir informalidade autêntica, mas também pode indicar que o vínculo com a audiência já está suficientemente fidelizado para dispensar as mecânicas de clickbait mais explícitas. Uma base de inscritos consolidada, engajamento expressivamente acima da média da plataforma e um volume de conteúdo que ultrapassa três mil e novecentos vídeos configuram um ecossistema de retenção por saturação — o inscrito não assiste a um vídeo, habita o canal. A longuíssima duração dos episódios não é generosidade pedagógica; é estratégia de watch time, a moeda mais valorizada pelo algoritmo do YouTube.

A auto-narrativa do GVA como ""projeto"" de pesquisa espiritual independente cumpre uma função ideológica precisa: deslocar a percepção da audiência do quadro do consumo para o quadro da comunidade iniciática. Ao se apresentar como fundador de um grupo e não como criador de conteúdo, Calderon reconfigura o espectador em membro, o que aumenta a lealdade, reduz a sensibilidade crítica ao consumo e cria um vínculo identitário difícil de desfazer. A ausência de canais relacionados declarados reforça essa encenação de autossuficiência — mas a presença reiterada de links para o Threads aponta para uma estratégia multiplataforma típica de operadores profissionais de marca pessoal.

A invisibilidade no trending nacional não é necessariamente sinal de marginalidade. É coerente com um modelo de nicho profundo: o canal não disputa viralidade massiva, disputa permanência. Nesse segmento — espiritualidade, autoconhecimento, fenômenos alterados de consciência — a lógica não é a explosão, é a sedimentação. O volume absurdo de conteúdo cria uma enciclopédia proprietária do tema que torna o canal a referência de fato para quem entra no nicho, independentemente de qualquer momento de pico algorítmico.

O veredito é claro: Saulo Calderon opera um negócio de mídia especializada em espiritualidade vestido com a linguagem da missão pessoal. A fachada do pesquisador autodidata que compartilha por amor ao tema encobre uma estrutura de produção profissional, altamente disciplinada e economicamente orientada. No ecossistema do YouTube brasileiro, o canal ocupa a posição de monopolista de nicho — aquele que, ao saturar um campo temático com volume e fidelização, torna-se irrelevante para o grande público e insubstituível para o seu.","1","","True"
"10","2026-05-29T13:47:43.733151+00:00","UCYV0dRTChi7F4hqX5NUiPow","PokeSean151","Pokémon Vendor | Stay tuned for upcoming shows here: https://linktr.ee/pokesean151
-
30% Off G Fuel: POKESEAN
PO Box: 10 Green St Unit 4 PMB105 Woodbridge, NJ
","428000","327","50","Pokémon Vendor — criador individual que documenta sua rotina de colecionador/negociante de cartas Pokémon com vlogs pessoais e short-form content.","youtuber_profissional","vlog","{""frequencia_videos_por_dia"": 1.035020344618649, ""duracao_mediana_segundos"": 84, ""link_externo_repetido"": null, ""pct_titulos_padronizados"": 0.0, ""taxa_engajamento_mediana"": 4.623055885521699, ""inscritos"": 428000, ""total_videos_canal"": 327, ""n_videos_analisados"": 50}","[]","{""vlog"": 50}","**O que chama atenção**

A duração mediana de 1,4 minutos combinada com frequência superior a um vídeo por dia sugere uma produção centrada em Shorts ou conteúdo ultra-curto, o que contrasta com a auto-descrição de ""vendor"" que documenta rotina — formato tipicamente associado a vlogs mais longos. Essa incompatibilidade entre o posicionamento declarado e a estrutura observada merece atenção. Ao mesmo tempo, a taxa de engajamento mediana de 4,62% é relativamente elevada para um canal com mais de 400 mil inscritos, o que levanta a questão de se essa audiência responde ao conteúdo de forma consistente ou se o engajamento está concentrado em poucos vídeos com desempenho atípico.

**O que investigar**

Vale verificar qual proporção dos 327 vídeos corresponde a Shorts versus conteúdo longo, pois isso alteraria significativamente a leitura da frequência e da duração mediana. A presença de um PO Box comercial e de patrocínio explícito (G Fuel) sugere múltiplas fontes de receita além da plataforma — vale investigar se o linktree referenciado na bio direciona para canais de venda, listas de eventos ou produtos digitais associados ao nicho de cartas Pokémon. A ausência de formatação padronizada nos títulos pode indicar estratégia orientada ao algoritmo de Shorts, onde o título tem menor peso de descoberta — vale verificar se os títulos seguem padrões informais recorrentes de nicho.

**O que os dados não respondem**

Se o engajamento observado reflete fidelização de uma comunidade de colecionadores ou vínculo parassocial com o produtor individual. Se a alta frequência corresponde a produção contínua recente ou a acúmulo histórico de uploads. Se as aparições em ""shows"" mencionados na bio se traduzem em audiência presencial que retroalimenta o canal digital — essa dinâmica entre presença física (feiras, eventos) e produção online só pode ser avaliada por análise qualitativa do conteúdo e dos comentários.","1","","True"
"11","2026-07-03T14:15:18.179596+00:00","UCLoJvrJoYRNWZueX5J25zEQ","Above","Gaming degen, proud husband, & new father! Powered by AdvancedGG, PowerGPU, Fractal, & SecretLab.
","83300","471","50","Criador individual especializado em gameplay de jogos cooperativos (Arc Raiders), operando como negócio de mídia pessoal com patrocínios estruturados.","youtuber_profissional","jogos","{""frequencia_videos_por_dia"": 0.48606845666626575, ""duracao_mediana_segundos"": 19944, ""link_externo_repetido"": {""dominio"": ""twitch.tv"", ""n_aparicoes"": 49}, ""pct_titulos_padronizados"": 0.0, ""taxa_engajamento_mediana"": 1.867881548974943, ""inscritos"": 83300, ""total_videos_canal"": 471, ""n_videos_analisados"": 50}","[]","{""jogos"": 45, ""educativo"": 3, ""entretenimento_roteirizado"": 2}","**O que chama atenção**

A duração mediana de 332 minutos por vídeo contrasta de forma marcante com o posicionamento de canal de jogos com patrocínios estruturados e identidade pessoal consolidada. Esse volume de duração é estruturalmente mais compatível com conteúdo de livestream arquivado do que com produção editorial convencional — o que tensiona a classificação de ""youtuber profissional"" com produção intencional para o formato. Ao mesmo tempo, a ausência total de formatação padronizada nos títulos (0%) contrasta com a presença de múltiplos patrocinadores declarados na bio, já que marcas tendem a favorecer canais com identidade visual e editorial consistente.

**O que investigar**

A presença dominante do Twitch (49 aparições nos links externos) levanta a questão de se o YouTube funciona como plataforma principal ou como repositório secundário de transmissões ao vivo — vale verificar se os vídeos são VODs de streams e em que proporção. A coexistência de patrocínios nomeados (AdvancedGG, PowerGPU, Fractal, SecretLab) com métricas modestas de alcance sugere verificar se esses acordos são de performance baseada em visualizações ou contratos de visibilidade comunitária de nicho (comum em canais de gaming com audiência engajada e específica). A ausência de canais relacionados declarados pode indicar que o criador opera em rede informal — vale checar se há menções cruzadas com outros canais nos vídeos ou nas transmissões ao vivo.

**O que os dados não respondem**

Os dados não permitem determinar se a taxa de engajamento de 1,87% reflete uma audiência fidelizada de nicho com vínculo consistente ou flutuação episódica associada a lançamentos de jogos específicos como Arc Raiders. Tampouco é possível inferir se o volume de 471 vídeos representa produção histórica acumulada ao longo de anos ou intensificação recente — o que alteraria substancialmente a leitura sobre o modelo de operação do canal.","1","","True"
"12","2026-07-03T19:00:59.11307+00:00","UC0W3DMatEMi5qLawqRVU7IQ","Igor Oda","Fala galera!
Estou gravando uns vídeos sobre filmmaking, fotografia, criatividade, um pouquinho de minimalismo e vou falar sobre uns equipamentos aí. Espero que gostem. xD","11600","152","50","Canal de tutoriais e reviews sobre equipamentos de filmmaking, fotografia e produção de conteúdo.","youtuber_profissional","educativo","{""frequencia_videos_por_dia"": 0.26489859933026033, ""duracao_mediana_segundos"": 237, ""link_externo_repetido"": {""dominio"": ""amzn.to"", ""n_aparicoes"": 228}, ""pct_titulos_padronizados"": 0.0, ""taxa_engajamento_mediana"": 6.355230178847053, ""inscritos"": 11600, ""total_videos_canal"": 152, ""n_videos_analisados"": 50}","[]","{""promocional"": 10, ""educativo"": 32, ""vlog"": 5, ""informativo"": 3}","**O que chama atenção**

A auto-descrição do canal usa linguagem informal e exploratória (""estou gravando uns vídeos"", ""um pouquinho""), sugerindo um posicionamento de descoberta ou hobby — mas a classificação inferida aponta para youtuber profissional com conteúdo educativo estruturado. Essa tensão entre tom casual e operação mais sistemática merece atenção. Mais notável ainda é a presença do domínio amzn.to em 228 aparições nas descrições: trata-se de um volume que contrasta com a escala modesta do canal (11,6 mil inscritos, 152 vídeos) e levanta a questão de se o canal opera, na prática, como uma plataforma de afiliados de forma mais central do que sua auto-apresentação sugere.

**O que investigar**

Vale verificar se os links amzn.to correspondem a um programa de afiliados ativo e se os produtos referenciados concentram categorias específicas (câmeras, lentes, acessórios), o que ajudaria a entender se há alinhamento entre o conteúdo declarado e os itens monetizados. A taxa de engajamento mediana de 6,36% é relativamente alta para o nicho — vale investigar se esse número se distribui uniformemente entre os vídeos ou se concentra em poucos títulos, o que poderia indicar um núcleo fiel de audiência especializada. A ausência de qualquer canal relacionado declarado também merece verificação: há menções cruzadas nos vídeos ou comentários que sugiram conexões com outros criadores do mesmo nicho?

**O que os dados não respondem**

Os dados não permitem determinar se o volume de links de afiliados reflete uma prática editorial integrada ao conteúdo ou simples padronização automática de descrições. Tampouco é possível inferir, a partir daqui, se o engajamento elevado corresponde a fidelização de nicho técnico — onde audiências menores tendem a interagir mais — ou a outro padrão de vínculo com o canal. A ausência de padronização nos títulos (0%) pode indicar tanto informalidade genuína quanto experimentação de formatos ao longo do tempo; apenas análise qualitativa dos vídeos permitiria distinguir entre essas possibilidades.","1","","True"
"13","2026-07-05T22:46:30.119015+00:00","UCpGa7mfepvd621sK6FJ_p9w","CyberMaike","Comercial: contatocybermaike@gmail.com
","53900","32","33","Canal de gameplay e tutoriais de modding em jogos, centrado na persona de um criador individual.","youtuber_profissional","jogos","{""frequencia_videos_por_dia"": 0.03943033673745439, ""duracao_mediana_segundos"": 987, ""link_externo_repetido"": {""dominio"": ""bit.ly"", ""n_aparicoes"": 25}, ""pct_titulos_padronizados"": 27.27272727272727, ""taxa_engajamento_mediana"": 5.879586077140169, ""inscritos"": 53900, ""total_videos_canal"": 32, ""n_videos_analisados"": 33}","[]","{""jogos"": 32, ""educativo"": 1}","**O que chama atenção**

A desproporção entre a base de inscritos (expressiva para um nicho de modding) e o volume total de vídeos (32) levanta uma questão estrutural: a audiência foi construída com densidade muito baixa de produção. A frequência de 0,04 vídeos/dia é estruturalmente incompatível com a manutenção orgânica de crescimento em plataformas algorítmicas, o que contrasta com a classificação inferida de produtor profissional. Ao mesmo tempo, o link encurtado via bit.ly aparece em 25 ocorrências — número elevado para um canal com apenas 32 vídeos — sugerindo que praticamente toda a produção carrega redirecionamento externo. Essa concentração merece atenção.

**O que investigar**

A recorrência do bit.ly em quase todos os vídeos sugere um destino único ou recorrente de monetização fora da plataforma — vale verificar se esse link aponta para produtos pagos, grupos pagos, serviços de modding, ou ainda afiliações comerciais. A taxa de engajamento mediana de 5,88% é relativamente alta para o nicho; vale investigar se esse índice está concentrado em poucos vídeos com picos específicos ou distribuído uniformemente, pois isso pode indicar dinâmicas diferentes de audiência. Também merece verificação de que forma os 53,9 mil inscritos foram acumulados — se há vídeos virais pontuais no histórico que não se repetiram ou se o crescimento foi gradual e sustentado.

**O que os dados não respondem**

Os dados disponíveis não permitem determinar se o volume reduzido de vídeos reflete escolha editorial deliberada, interrupção da produção, ou uma estratégia de conteúdo evergreen em nicho especializado. Tampouco é possível identificar, apenas pelos metadados, o destino real dos links externos e sua relação com a economia do canal. Se o engajamento elevado representa fidelização de uma comunidade técnica de modding ou outro tipo de vínculo com a audiência é uma questão que só a análise qualitativa do conteúdo dos comentários pode responder.","1","","True"
